field_id	title	notes
1319	Dried fruit intake	ACE touchscreen question "About how many pieces of DRIED fruit would you eat per DAY? (Count one prune, one dried apricot, 10 raisins as one piece; put '0' if you do not eat any)"<p>The following checks were performed:<ul><li>If answer > 100 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>
1329	Oily fish intake	ACE touchscreen question "How often do you eat oily fish? (e.g. sardines, salmon, mackerel, herring)"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br>Oily fish include:<br>  Salmon  Anchovies<br>  Trout   Swordfish<br>  Mackerel  Bloater<br>  Herring  Cacha<br>  Sardines  Carp<br>  Pilchards  Hilsa<br>  Kipper   Jack fish<br>  Eel   Katla<br>  Whitebait  Orange roughy<br>  Tuna (fresh only) Pangas<br>  Sprats<br></i></td></tr></table>
1339	Non-oily fish intake	ACE touchscreen question "How often do you eat other types of fish? (e.g. cod, tinned tuna, haddock)"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>
1349	Processed meat intake	ACE touchscreen question "How often do you eat processed meats (such as bacon, ham, sausages, meat pies, kebabs, burgers, chicken nuggets)?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>
1359	Poultry intake	ACE touchscreen question "How often do you eat chicken, turkey or other poultry? (Do not count processed meats)"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table> <p>Poultry include fowl (e.g. chicken, turkey, quail), waterfowl (e.g. duck, goose) and game (e.g. pheasant).
1369	Beef intake	ACE touchscreen question "How often do you eat beef? (Do not count processed meats)"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>
1379	Lamb/mutton intake	ACE touchscreen question "How often do you eat lamb/mutton? (Do not count processed meats)"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>
1389	Pork intake	ACE touchscreen question "How often do you eat pork? (Do not count processed meats such as bacon or ham)"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>
1408	Cheese intake	ACE touchscreen question "How often do you eat cheese? (Include cheese in pizzas, quiches, cheese sauce etc)"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F1408~ was collected from all participants except those who indicated that they never eat dairy products, as defined by their answers to ~F6144~
1418	Milk type used	ACE touchscreen question "What type of milk do you mainly use?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you use more than one type of milk, please select the one that<br>you drink the most.<br>If you are unsure, select Do not know.<br></i></td></tr></table>
